Date,ISM Manufacturing PMI,ISM Services PMI,Housing Starts,Non-Farm Employment Change,Unemployment  Rate,Consumer Price Index (CPI),Producer Price Index (PPI),Retail Sales
Feb-10,58.4,50.5,0.59M,-20K,9.70%,0.20%,1.40%,0.50%
Mar-10,56.5,53,0.58M,-36K,9.70%,0.00%,-0.60%,0.30%
Apr-10,59.6,55.4,0.63M,162K,9.70%,0.10%,0.70%,1.60%
May-10,60.4,55.4,0.67M,290K,9.90%,-0.10%,-0.10%,0.40%
Jun-10,59.7,55.4,0.59M,431K,9.70%,-0.20%,-0.30%,-1.20%
Jul-10,56.2,53.8,0.55M,-125K,9.50%,-0.10%,-0.50%,-0.50%
Aug-10,55.5,54.3,0.55M,-131K,9.50%,0.30%,0.20%,0.40%
Sep-10,56.3,51.5,0.60M,-54K,9.60%,0.30%,0.40%,0.40%
Oct-10,54.4,53.2,0.61M,-95K,9.60%,0.10%,0.40%,0.60%
Nov-10,56.9,54.3,0.52M,151K,9.60%,0.20%,0.40%,1.20%
Dec-10,56.6,55,0.56M,39K,9.80%,0.10%,0.80%,0.80%
Jan-11,57,57.1,0.53M,103K,9.40%,0.50%,1.10%,0.60%
Feb-11,60.8,59.4,0.60M,36K,9.00%,0.40%,0.80%,0.30%
Mar-11,61.4,59.7,0.48M,192K,8.90%,0.50%,1.60%,1.00%
Apr-11,61.2,57.3,0.55M,216K,8.80%,0.50%,0.70%,0.40%
May-11,60.4,52.8,0.52M,244K,9.00%,0.40%,0.80%,0.50%
Jun-11,53.5,54.6,0.56M,54K,9.10%,0.20%,0.20%,-0.20%
Jul-11,55.3,53.3,0.63M,18K,9.20%,-0.20%,-0.40%,0.10%
Aug-11,50.9,52.7,0.60M,117K,9.10%,0.50%,0.20%,0.50%
Sep-11,50.6,53.3,0.57M,0K,9.10%,0.40%,0.00%,0.00%
Oct-11,51.6,53,0.66M,103K,9.10%,0.30%,0.80%,1.10%
Nov-11,50.8,52.9,0.63M,80K,9.00%,-0.10%,-0.30%,0.50%
Dec-11,52.7,52,0.69M,120K,8.60%,0.00%,0.30%,0.20%
Jan-12,53.9,52.6,0.66M,200K,8.50%,0.00%,-0.10%,0.10%
Feb-12,54.1,56.8,0.70M,243K,8.30%,0.20%,0.10%,0.40%
Mar-12,52.4,57.3,0.70M,227K,8.30%,0.40%,0.40%,1.10%
Apr-12,53.4,56,0.65M,120K,8.20%,0.30%,0.00%,0.80%
May-12,54.8,53.5,0.72M,115K,8.10%,0.00%,-0.20%,0.10%
Jun-12,53.5,53.7,0.71M,69K,8.20%,-0.30%,-1.00%,-0.20%
Jul-12,49.7,52.1,0.76M,80K,8.20%,0.00%,0.10%,-0.50%
Aug-12,49.8,52.6,0.75M,163K,8.30%,0.00%,0.30%,0.80%
Sep-12,49.6,53.7,0.75M,96K,8.10%,0.60%,1.70%,0.90%
Oct-12,51.5,55.1,0.87M,114K,7.80%,0.60%,1.10%,1.10%
Nov-12,51.7,54.2,0.89M,171K,7.90%,0.10%,-0.20%,-0.30%
Dec-12,49.5,54.7,0.86M,146K,7.70%,-0.30%,-0.80%,0.30%
Jan-13,50.7,56.1,0.95M,155K,7.80%,0.00%,-0.20%,0.50%
Feb-13,53.1,55.2,0.89M,157K,7.90%,0.00%,0.20%,0.10%
Mar-13,54.2,56,0.92M,236K,7.70%,0.70%,0.70%,1.10%
Apr-13,51.3,54.4,1.04M,88K,7.60%,-0.20%,-0.60%,-0.40%
May-13,50.7,53.1,0.85M,165K,7.50%,-0.40%,-0.70%,0.10%
Jun-13,49,53.7,0.91M,175K,7.60%,0.10%,0.50%,0.60%
Jul-13,50.9,52.2,0.84M,195K,7.60%,0.50%,0.80%,0.40%
Aug-13,55.4,56,0.90M,162K,7.40%,0.20%,0.00%,0.20%
Sep-13,55.7,58.6,0.89M,169K,7.30%,0.10%,0.30%,0.20%
Oct-13,56.2,54.4,0.87M,148K,7.20%,0.20%,-0.10%,-0.10%
Nov-13,56.4,55.4,0.89M,204K,7.30%,-0.10%,-0.20%,0.40%
Dec-13,57.3,53.9,1.09M,203K,7.00%,0.00%,-0.10%,0.70%
Jan-14,57,53,1.00M,74K,6.70%,0.30%,0.40%,0.20%
Feb-14,51.3,54,0.88M,113K,6.60%,0.10%,0.20%,-0.40%
Mar-14,53.2,51.6,0.91M,175K,6.70%,0.10%,-0.10%,0.30%
Apr-14,53.7,53.1,0.95M,192K,6.70%,0.20%,0.50%,1.10%
May-14,54.9,55.2,1.07M,288K,6.30%,0.30%,0.60%,0.10%
Jun-14,55.4,56.3,1.00M,217K,6.30%,0.40%,-0.20%,0.30%
Jul-14,55.3,56,0.89M,288K,6.10%,0.30%,0.40%,0.20%
Aug-14,57.1,58.7,1.09M,209K,6.20%,0.10%,0.10%,0.00%
Sep-14,59,59.6,0.96M,142K,6.10%,-0.20%,0.00%,0.60%
Oct-14,56.6,58.6,1.02M,248K,5.90%,0.10%,-0.10%,-0.30%
Nov-14,59,57.1,1.01M,214K,5.80%,0.00%,0.20%,0.30%
Dec-14,58.7,59.3,1.03M,321K,5.80%,-0.30%,-0.20%,0.70%
Jan-15,55.5,56.2,1.09M,252K,5.60%,-0.40%,-0.30%,-0.90%
Feb-15,53.5,56.7,1.07M,257K,5.70%,-0.70%,-0.80%,-0.80%
Mar-15,52.9,56.9,0.90M,295K,5.50%,0.20%,-0.50%,-0.60%
Apr-15,51.5,56.5,0.93M,126K,5.50%,0.20%,0.20%,0.90%
May-15,51.5,57.8,1.14M,223K,5.40%,0.10%,-0.40%,0.00%
Jun-15,52.8,55.7,1.04M,280K,5.50%,0.40%,0.50%,1.20%
Jul-15,53.5,56,1.17M,223K,5.30%,0.30%,0.40%,-0.30%
Aug-15,52.7,60.3,1.21M,215K,5.30%,0.10%,0.20%,0.60%
Sep-15,51.1,59,1.13M,173K,5.10%,-0.10%,0.00%,0.20%
Oct-15,50.2,56.9,1.21M,142K,5.10%,-0.20%,-0.50%,0.10%
Nov-15,50.1,59.1,1.06M,271K,5.00%,0.20%,-0.40%,0.10%
Dec-15,48.6,55.9,1.17M,211K,5.00%,0.00%,0.30%,0.20%
Jan-16,48.2,55.3,1.15M,292K,5.00%,-0.10%,-0.20%,-0.10%
Feb-16,48.2,53.5,1.10M,151K,4.90%,0.00%,0.10%,0.20%
Mar-16,49.5,53.4,1.18M,242K,4.90%,-0.20%,-0.20%,-0.10%
Apr-16,51.8,54.5,1.09M,215K,5.00%,0.10%,-0.10%,-0.30%
May-16,50.8,55.7,1.17M,160K,5.00%,0.40%,0.20%,1.30%
Jun-16,51.3,52.9,1.16M,38K,4.70%,0.20%,0.40%,0.50%
Jul-16,53.2,56.5,1.19M,287K,4.90%,0.20%,0.50%,0.60%
Aug-16,52.6,55.5,1.21M,255K,4.90%,0.00%,-0.40%,0.00%
Sep-16,49.4,51.4,1.14M,151K,4.90%,0.20%,0.00%,-0.30%
Oct-16,51.5,57.1,1.05M,156K,5.00%,0.30%,0.30%,0.60%
Nov-16,51.9,54.8,1.32M,161K,4.90%,0.40%,0.00%,0.80%
Dec-16,53.2,57.2,1.09M,178K,4.60%,0.20%,0.40%,0.10%
Jan-17,54.7,57.2,1.23M,156K,4.70%,0.30%,0.30%,0.60%
Feb-17,56,56.5,1.25M,227K,4.80%,0.60%,0.60%,0.40%
Mar-17,57.7,57.6,1.29M,235K,4.70%,0.10%,0.30%,0.10%
Apr-17,57.2,55.2,1.22M,98K,4.50%,-0.30%,-0.10%,-0.20%
May-17,54.8,57.5,1.17M,211K,4.40%,0.20%,0.50%,0.40%
Jun-17,54.9,56.9,1.09M,138K,4.30%,-0.10%,0.00%,-0.30%
Jul-17,57.8,57.4,1.22M,222K,4.40%,0.00%,0.10%,-0.20%
Aug-17,56.3,53.9,1.16M,209K,4.30%,0.10%,-0.10%,0.60%
Sep-17,58.8,55.3,1.18M,156K,4.40%,0.40%,0.20%,-0.20%
Oct-17,60.8,59.8,1.13M,-33K,4.20%,0.50%,0.40%,1.60%
Nov-17,58.7,60.1,1.29M,261K,4.10%,0.10%,0.40%,0.20%
Dec-17,58.2,57.4,1.30M,228K,4.10%,0.40%,0.40%,0.80%
Jan-18,59.7,55.9,1.19M,148K,4.10%,0.10%,-0.10%,0.40%
Feb-18,59.1,59.9,1.33M,200K,4.10%,0.50%,0.40%,-0.30%
Mar-18,60.8,59.5,1.24M,313K,4.10%,0.20%,0.20%,-0.10%
Apr-18,59.3,58.8,1.32M,103K,4.10%,-0.10%,0.30%,0.60%
May-18,57.3,56.8,1.29M,164K,3.90%,0.20%,0.10%,0.30%
Jun-18,58.7,58.6,1.35M,223K,3.80%,0.20%,0.50%,0.80%
Jul-18,60.2,59.1,1.17M,213K,4.00%,0.10%,0.30%,0.50%
Aug-18,58.1,55.7,1.17M,157K,3.90%,0.20%,0.00%,0.50%
Sep-18,61.3,58.5,1.28M,201K,3.90%,0.20%,-0.10%,0.10%
Oct-18,59.8,61.6,1.20M,134K,3.70%,0.10%,0.20%,0.10%
Nov-18,57.7,60.3,1.23M,250K,3.70%,0.30%,0.60%,0.80%
Dec-18,59.3,60.7,1.26M,155K,3.70%,0.00%,0.10%,0.20%
Jan-19,54.1,57.6,1.08M,312K,3.90%,-0.10%,-0.20%,-1.20%
Feb-19,56.6,56.7,1.23M,304K,4.00%,0.00%,-0.10%,0.20%
Mar-19,54.2,59.7,1.16M,20K,3.80%,0.20%,0.10%,-0.20%
Apr-19,55.3,56.1,1.14M,196K,3.80%,0.40%,0.60%,1.60%
May-19,52.8,55.5,1.24M,263K,3.60%,0.30%,0.20%,-0.20%
Jun-19,52.1,56.9,1.27M,75K,3.60%,0.10%,0.10%,0.50%
Jul-19,51.7,55.1,1.25M,224K,3.70%,0.10%,0.10%,0.40%
Aug-19,51.2,53.7,1.19M,164K,3.70%,0.30%,0.20%,0.70%
Sep-19,49.1,56.4,1.36M,130K,3.70%,0.10%,0.10%,0.40%
Oct-19,47.8,52.6,1.26M,136K,3.50%,0.00%,-0.30%,-0.30%
Nov-19,48.3,54.7,1.31M,128K,3.60%,0.40%,0.40%,0.30%
Dec-19,48.1,53.9,1.37M,266K,3.50%,0.30%,0.00%,0.20%
Jan-20,47.2,55,1.61M,145K,3.50%,0.20%,0.10%,0.30%
Feb-20,50.9,55.5,1.57M,225K,3.60%,0.10%,0.50%,0.30%
Mar-20,50.1,57.3,1.60M,273K,3.50%,0.10%,-0.60%,-0.50%
Apr-20,49.1,52.5,1.22M,-701K,4.40%,-0.40%,-0.20%,-8.70%
May-20,41.5,41.8,0.89M,-20537K,14.70%,-0.80%,-1.30%,-16.40%
Jun-20,43.1,45.4,0.97M,2509K,13.30%,-0.10%,0.40%,17.70%
Jul-20,52.6,57.1,1.19M,4800K,11.10%,0.60%,-0.20%,7.50%
Aug-20,54.2,58.1,1.50M,1763K,10.20%,0.60%,0.60%,1.20%
Sep-20,56,56.9,1.42M,1371K,8.40%,0.40%,0.30%,0.60%
Oct-20,55.4,57.8,1.42M,661K,7.90%,0.20%,0.40%,1.90%
Nov-20,59.3,56.6,1.53M,638K,6.90%,0.00%,0.30%,0.30%
Dec-20,57.5,55.9,1.55M,245K,6.70%,0.20%,0.10%,-1.10%
Jan-21,60.7,57.2,1.67M,-140K,6.70%,0.40%,0.30%,-0.70%
Feb-21,58.7,58.7,1.58M,49K,6.30%,0.30%,1.30%,5.30%
Mar-21,60.8,55.3,1.42M,379K,6.20%,0.40%,0.50%,-3.00%
Apr-21,64.7,63.7,1.74M,916K,6.00%,0.60%,1.00%,9.80%
May-21,60.7,62.7,1.57M,266K,6.10%,0.80%,0.60%,0.00%
Jun-21,61.2,64,1.57M,559K,5.80%,0.60%,0.80%,-1.30%
Jul-21,60.6,60.1,1.64M,850K,5.90%,0.90%,1.00%,0.60%
Aug-21,59.5,64.1,1.53M,943K,5.40%,0.50%,1.00%,-1.10%
Sep-21,59.9,61.7,1.62M,235K,5.20%,0.30%,0.70%,0.70%
Oct-21,61.1,61.9,1.56M,194K,4.80%,0.40%,0.50%,0.70%
Nov-21,60.8,66.7,1.52M,531K,4.60%,0.90%,0.60%,1.70%
Dec-21,61.1,69.1,1.68M,210K,4.20%,0.80%,0.80%,0.30%
Jan-22,58.7,62,1.70M,199K,3.90%,0.50%,0.20%,-1.90%
Feb-22,57.6,59.9,1.64M,467K,4.00%,0.60%,1.00%,3.80%
Mar-22,58.6,56.5,1.77M,678K,3.80%,0.80%,0.80%,0.30%
Apr-22,57.1,58.3,1.79M,431K,3.60%,1.20%,1.40%,0.50%
May-22,55.4,57.1,1.72M,428K,3.60%,0.30%,0.50%,0.90%
Jun-22,56.1,55.9,1.55M,390K,3.60%,1.00%,0.80%,-0.30%
Jul-22,53,55.3,1.56M,372K,3.60%,1.30%,1.10%,1.00%
Aug-22,52.8,56.7,1.45M,528K,3.50%,0.00%,-0.50%,0.00%
Sep-22,52.8,56.9,1.58M,315K,3.70%,0.10%,-0.10%,0.30%
Oct-22,50.9,56.7,1.44M,263K,3.50%,0.40%,0.40%,0.00%
Nov-22,50.2,54.4,1.43M,261K,3.70%,0.40%,0.20%,1.30%
Dec-22,49,56.5,1.43M,263K,3.70%,0.10%,0.30%,-0.60%
Jan-23,48.4,49.6,1.38M,223K,3.50%,-0.10%,-0.50%,-1.10%
Feb-23,47.4,55.2,1.31M,517K,3.40%,0.50%,0.70%,3.00%
Mar-23,47.7,55.1,1.45M,311K,3.60%,0.40%,-0.10%,-0.40%
Apr-23,46.3,51.2,1.42M,236K,3.50%,0.10%,-0.50%,-1.00%
May-23,47.1,51.9,1.40M,253K,3.40%,0.40%,0.20%,0.40%
Jun-23,46.9,50.3,1.63M,339K,3.70%,0.10%,-0.30%,0.30%
